id,x,y,sourceRadius,targetRadius,color,sourceX,targetX,sourceY,targetY,index,vy,vx
0100005,317.42713187327985,340.142213114032,2,2,#d5ece6,300,900,300,900,0,-0.013903974267750628,-0.010763360212424996
0100006,205.53020629500992,237.1769332211465,2,2,#d5ece6,300,900,300,600,1,-0.008817920918192272,-0.010444185373700508
0100007,235.18360007260233,164.24862468091186,2,3,#d5ece6,300,900,300,900,2,-0.013457268545661497,-0.00578957556762959
0100030,214.47033209543252,816.9327523475997,2,2,#b394c9,300,900,900,900,3,-0.0030560781241144473,-0.0031047851875134476
0100060,211.90392694681387,546.0348784990417,1,1,#9ccadd,300,900,600,900,4,-0.0031135404266166493,-0.007501890779359612
0100090,208.93367546534884,548.6864115132157,2,1,#9ccadd,300,900,600,300,5,-0.0015104294391607752,-0.0027010352211560224
0100100,204.3616222924134,263.09987790736744,1,1,#d5ece6,300,900,300,300,6,-0.008054188070496017,-0.029207968928171426
0100120,382.40875658377894,968.101182246196,2,2,#b394c9,300,900,900,900,7,0.004345020557245365,0.0028234279511351653
0100180,224.26468705691093,546.0571177282578,1,1,#9ccadd,300,900,600,900,8,-0.0025442353594001574,-0.002526326494569074
0100210,345.6042474595993,868.5188320773663,2,2,#b394c9,300,900,900,900,9,0.001077026887206235,0.014408946119828424
0100240,384.1908709803177,994.4214474747585,2,2,#b394c9,300,900,900,900,10,0.0028851180097708095,0.002455903335529727
0100270,379.2683097432899,664.4531018204451,3,4,#9ccadd,300,900,600,900,11,0.0013665518635529704,0.0020047020356912006
0100300,370.67483140909064,666.7135952197822,1,1,#9ccadd,300,900,600,600,12,-0.0013259151092053143,0.00586477285471482
0100330,305.36306943743756,161.89552476631977,2,2,#d5ece6,300,900,300,600,13,-0.012353845758348851,0.0017009526400717722
0100360,364.63724387372815,965.6482332720565,2,2,#b394c9,300,900,900,900,14,0.0015651509967314896,0.005321082508847766
0100390,359.05506144317565,409.7716191391177,4,3,#d5ece6,300,900,300,300,15,0.013088005461547795,0.0067536122943557585
0100420,297.1727094411636,399.91316236038136,2,2,#d5ece6,300,900,300,600,16,0.01558676416197009,-0.0002812311946095877
0100450,391.24510970201516,970.676526294926,1,1,#b394c9,300,900,900,900,17,0.004745840084624105,0.003059209946973857
0100480,284.2852463535652,304.5578365645915,1,1,#d5ece6,300,900,300,600,18,-0.0053105347734874265,-0.022073506744111064
0100510,315.4965663869376,968.8394084519902,2,2,#b394c9,300,900,900,900,19,0.018139536866581832,0.017069826634337558
0100540,386.172945335602,651.8750132241856,2,2,#9ccadd,300,900,600,600,20,0.001396793323146409,0.0016674202019987898
0100600,374.87982384673853,983.202058446244,2,2,#b394c9,300,900,900,900,21,0.0026001881788242868,0.0023261562133336804
0100630,267.5297604455829,421.7505530123029,2,2,#d5ece6,300,900,300,600,22,0.014601509608694649,-0.005154925791732576
0100660,350.3870042497164,659.5382429562607,2,2,#9ccadd,300,900,600,900,23,0.0029874577795992794,0.001877980281340307
0100690,320.1353986589609,985.6550113236588,2,1,#b394c9,300,900,900,900,24,0.004603989361058936,0.0011818406381410547
0100720,334.6782627873224,907.3094523354181,2,1,#b394c9,300,900,900,900,25,0.0019361910347982184,0.0037494096670513434
0100750,357.13885203605304,665.9467755497515,1,1,#9ccadd,300,900,600,900,26,0.002840529322473661,0.0020591491349829477
0100780,260.68885071117904,259.8825931678507,1,1,#d5ece6,300,900,300,600,27,-0.08617749250291531,0.06995682520817387
0100810,368.1516627186654,617.8100002826094,1,1,#9ccadd,300,900,600,600,28,-0.03785783596044235,0.033541148801214726
0100840,374.83206841270277,632.1060960634794,2,1,#9ccadd,300,900,600,600,29,0.0024493673382982193,0.004274858472566318
0100870,388.1274617535658,987.6275721377737,1,1,#b394c9,300,900,900,900,30,0.008076765145891058,0.014478037565744888
0100900,380.77992805389783,988.7641157015346,1,1,#b394c9,300,900,900,900,31,0.003134040188418074,0.0017764316527382373
0100930,363.97141458471583,660.4461747580108,2,2,#9ccadd,300,900,600,300,32,0.002777562768526273,0.0014684517982572135
0100960,375.0737694572748,1005.2470710946519,1,1,#b394c9,300,900,900,900,33,0.003413474965649117,0.002785088020811408
0100990,369.8697293258509,294.7187830735607,1,2,#d5ece6,300,900,300,600,34,0.06063230877443508,0.17778304655424174
0101020,356.85431001676534,395.66461635707464,2,2,#d5ece6,300,900,300,600,35,0.008514804581069364,0.011963466548609551
0101050,328.6639751777976,640.5181387782685,1,2,#9ccadd,300,900,600,600,36,0.0016828679574994868,0.002481257990986349
0101080,350.60240831953536,947.6215284481166,1,1,#b394c9,300,900,900,900,37,0.0032486668941468307,0.005182728970365185
0101110,233.85962556456855,885.7171609034922,2,2,#b394c9,300,900,900,600,38,0.0005675166248128798,-0.006772239041104666
0101140,358.54510838863854,630.3636942162743,2,2,#9ccadd,300,900,600,900,39,0.007679951511841063,-0.001998756125736357
