id,diverse_1994,diverse_2016,total_1994,total_2016
0100005,-1,1,3118,5447
0100006,-1,0,6707,5687
0100007,-1,1,7671,13938
0100030,1,1,3788,3055
0100060,0,1,2091,1744
0100090,0,-1,3584,2069
0100100,-1,-1,2503,2612
0100120,1,1,2915,3464
0100180,0,1,1967,1611
0100210,1,1,3987,8543
0100240,1,1,7554,9307
0100270,0,1,19961,31214
0100300,0,0,2027,847
0100330,-1,0,4872,3605
0100360,1,1,3539,3291
0100390,-1,-1,41801,23158
0100420,-1,0,6239,7793
0100450,1,1,1478,1113
0100480,-1,0,1972,1476
0100510,1,1,4300,3131
0100540,0,0,10309,8888
0100600,1,1,4138,3651
0100630,-1,0,3714,4021
0100660,0,1,6228,7756
0100690,1,1,2929,1417
0100720,1,1,4059,2691
0100750,0,1,2616,1936
0100780,-1,0,2446,2614
0100810,0,0,1913,2148
0100840,0,0,3337,2619
0100870,1,1,2382,1858
0100900,1,1,1855,980
0100930,0,-1,3208,3121
0100960,1,1,2382,2293
0100990,-1,0,2718,3094
0101020,-1,0,9209,9477
0101050,0,0,2749,3135
0101080,1,1,1767,1004
0101110,1,0,5111,3145
0101140,0,1,7247,9023
0101170,1,1,8592,8710
0101200,1,1,2178,2296
0101230,1,1,9641,9213
0101260,1,1,1124,613
0101290,1,1,8647,11417
0101320,1,1,5344,7052
0101350,1,1,4965,4430
0101380,-1,-1,8668,8764
0101410,1,1,2972,3949
0101440,-1,-1,2308,1740
0101470,0,0,2879,2375
0101530,1,1,4958,4470
0101560,0,1,2642,3221
0101590,-1,0,3234,3607
0101620,1,1,5883,5166
0101640,0,0,1462,1269
0101660,0,0,2860,2775
0101680,-1,-1,2244,1154
0101690,0,0,1624,1970
0101710,0,1,3511,2611
0101720,-1,0,1783,1726
0101730,-1,0,2916,3210
0101740,1,1,2823,2489
0101760,0,1,3255,4170
0101770,0,0,5754,6319
0101800,1,1,24111,24026
0101830,0,0,6363,5470
0101860,0,1,1647,1590
0101890,0,1,2571,2718
0101920,0,1,40350,36085
0101950,0,0,2991,2366
0101980,1,0,1600,886
0102010,-1,-1,8490,8409
0102040,1,1,6143,4821
0102070,1,1,6739,9653
0102100,0,0,7314,9209
0102130,0,-1,705,494
